ID,Model,ModelParameters,TransformationParameters,Ensemble
e6568724f566881fab25f14213b3a1a7,Ensemble,"{""model_name"": ""BestN"", ""model_count"": 3, ""model_metric"": ""best_score"", ""models"": {""0e67dd0b6c295b24bd2fa8a9f29667f3"": {""Model"": ""Ensemble"", ""ModelParameters"": ""{\""model_name\"": \""BestN\"", \""model_count\"": 3, \""model_metric\"": \""best_score_unique\"", \""models\"": {\""f8628013aa1db35c5718b8c83863954f\"": {\""Model\"": \""VAR\"", \""ModelParameters\"": \""{\\\""regression_type\\\"": null, \\\""maxlags\\\"": null, \\\""ic\\\"": \\\""fpe\\\""}\"", \""TransformationParameters\"": \""{\\\""fillna\\\"": \\\""ffill\\\"", \\\""transformations\\\"": {\\\""0\\\"": \\\""StandardScaler\\\""}, \\\""transformation_params\\\"": {\\\""0\\\"": {}}}\""}, \""478b18bb54150fa061275883488f502f\"": {\""Model\"": \""SeasonalNaive\"", \""ModelParameters\"": \""{\\\""method\\\"": \\\""lastvalue\\\"", \\\""lag_1\\\"": 24, \\\""lag_2\\\"": 168}\"", \""TransformationParameters\"": \""{\\\""fillna\\\"": \\\""ffill\\\"", \\\""transformations\\\"": {\\\""0\\\"": \\\""SeasonalDifference\\\""}, \\\""transformation_params\\\"": {\\\""0\\\"": {\\\""lag_1\\\"": 12, \\\""method\\\"": \\\""Median\\\""}}}\""}, \""91bb392160e78b8d0b539c52c99fd3f7\"": {\""Model\"": \""UnivariateMotif\"", \""ModelParameters\"": \""{\\\""window\\\"": 14, \\\""point_method\\\"": \\\""median\\\"", \\\""distance_metric\\\"": \\\""minkowski\\\"", \\\""k\\\"": 5, \\\""max_windows\\\"": 10000}\"", \""TransformationParameters\"": \""{\\\""fillna\\\"": \\\""ffill\\\"", \\\""transformations\\\"": {\\\""0\\\"": \\\""QuantileTransformer\\\"", \\\""1\\\"": \\\""SeasonalDifference\\\""}, \\\""transformation_params\\\"": {\\\""0\\\"": {\\\""output_distribution\\\"": \\\""normal\\\"", \\\""n_quantiles\\\"": 20}, \\\""1\\\"": {\\\""lag_1\\\"": 7, \\\""method\\\"": \\\""LastValue\\\""}}}\""}}, \""model_weights\"": {}, \""point_method\"": \""mean\""}"", ""TransformationParameters"": ""{}""}, ""478b18bb54150fa061275883488f502f"": {""Model"": ""SeasonalNaive"", ""ModelParameters"": ""{\""method\"": \""lastvalue\"", \""lag_1\"": 24, \""lag_2\"": 168}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""SeasonalDifference\""}, \""transformation_params\"": {\""0\"": {\""lag_1\"": 12, \""method\"": \""Median\""}}}""}, ""24632f162fbd5799802a67b19616c396"": {""Model"": ""Ensemble"", ""ModelParameters"": ""{\""model_name\"": \""BestN\"", \""model_count\"": 5, \""model_metric\"": \""best_score_unique\"", \""models\"": {\""f8628013aa1db35c5718b8c83863954f\"": {\""Model\"": \""VAR\"", \""ModelParameters\"": \""{\\\""regression_type\\\"": null, \\\""maxlags\\\"": null, \\\""ic\\\"": \\\""fpe\\\""}\"", \""TransformationParameters\"": \""{\\\""fillna\\\"": \\\""ffill\\\"", \\\""transformations\\\"": {\\\""0\\\"": \\\""StandardScaler\\\""}, \\\""transformation_params\\\"": {\\\""0\\\"": {}}}\""}, \""478b18bb54150fa061275883488f502f\"": {\""Model\"": \""SeasonalNaive\"", \""ModelParameters\"": \""{\\\""method\\\"": \\\""lastvalue\\\"", \\\""lag_1\\\"": 24, \\\""lag_2\\\"": 168}\"", \""TransformationParameters\"": \""{\\\""fillna\\\"": \\\""ffill\\\"", \\\""transformations\\\"": {\\\""0\\\"": \\\""SeasonalDifference\\\""}, \\\""transformation_params\\\"": {\\\""0\\\"": {\\\""lag_1\\\"": 12, \\\""method\\\"": \\\""Median\\\""}}}\""}, \""91bb392160e78b8d0b539c52c99fd3f7\"": {\""Model\"": \""UnivariateMotif\"", \""ModelParameters\"": \""{\\\""window\\\"": 14, \\\""point_method\\\"": \\\""median\\\"", \\\""distance_metric\\\"": \\\""minkowski\\\"", \\\""k\\\"": 5, \\\""max_windows\\\"": 10000}\"", \""TransformationParameters\"": \""{\\\""fillna\\\"": \\\""ffill\\\"", \\\""transformations\\\"": {\\\""0\\\"": \\\""QuantileTransformer\\\"", \\\""1\\\"": \\\""SeasonalDifference\\\""}, \\\""transformation_params\\\"": {\\\""0\\\"": {\\\""output_distribution\\\"": \\\""normal\\\"", \\\""n_quantiles\\\"": 20}, \\\""1\\\"": {\\\""lag_1\\\"": 7, \\\""method\\\"": \\\""LastValue\\\""}}}\""}, \""02e90387637e93bf370bf39278624876\"": {\""Model\"": \""MultivariateMotif\"", \""ModelParameters\"": \""{\\\""window\\\"": 10, \\\""point_method\\\"": \\\""median\\\"", \\\""distance_metric\\\"": \\\""mahalanobis\\\"", \\\""k\\\"": 10, \\\""max_windows\\\"": null}\"", \""TransformationParameters\"": \""{\\\""fillna\\\"": \\\""ffill\\\"", \\\""transformations\\\"": {\\\""0\\\"": \\\""StandardScaler\\\"", \\\""1\\\"": \\\""Detrend\\\""}, \\\""transformation_params\\\"": {\\\""0\\\"": {}, \\\""1\\\"": {\\\""model\\\"": \\\""Linear\\\"", \\\""phi\\\"": 1, \\\""window\\\"": null}}}\""}, \""0c42e552a3a28b52e43b44978aa6fa52\"": {\""Model\"": \""MetricMotif\"", \""ModelParameters\"": \""{\\\""window\\\"": 10, \\\""point_method\\\"": \\\""median\\\"", \\\""distance_metric\\\"": \\\""mse\\\"", \\\""k\\\"": 5, \\\""comparison_transformation\\\"": {\\\""fillna\\\"": \\\""ffill\\\"", \\\""transformations\\\"": {\\\""0\\\"": \\\""EWMAFilter\\\""}, \\\""transformation_params\\\"": {\\\""0\\\"": {\\\""span\\\"": 12}}}, \\\""combination_transformation\\\"": {\\\""fillna\\\"": \\\""zero\\\"", \\\""transformations\\\"": {\\\""0\\\"": null}, \\\""transformation_params\\\"": {\\\""0\\\"": {}}}}\"", \""TransformationParameters\"": \""{\\\""fillna\\\"": \\\""ffill\\\"", \\\""transformations\\\"": {\\\""0\\\"": \\\""StandardScaler\\\"", \\\""1\\\"": \\\""ScipyFilter\\\""}, \\\""transformation_params\\\"": {\\\""0\\\"": {}, \\\""1\\\"": {\\\""method\\\"": \\\""butter\\\"", \\\""method_args\\\"": {\\\""N\\\"": 3, \\\""btype\\\"": \\\""lowpass\\\"", \\\""analog\\\"": false, \\\""output\\\"": \\\""sos\\\"", \\\""Wn\\\"": 0.25}}}}\""}}, \""point_method\"": \""midhinge\"", \""model_weights\"": {}}"", ""TransformationParameters"": ""{}""}}, ""model_weights"": {}, ""point_method"": ""mean""}",{},1
0e67dd0b6c295b24bd2fa8a9f29667f3,Ensemble,"{""model_name"": ""BestN"", ""model_count"": 3, ""model_metric"": ""best_score_unique"", ""models"": {""f8628013aa1db35c5718b8c83863954f"": {""Model"": ""VAR"", ""ModelParameters"": ""{\""regression_type\"": null, \""maxlags\"": null, \""ic\"": \""fpe\""}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""StandardScaler\""}, \""transformation_params\"": {\""0\"": {}}}""}, ""478b18bb54150fa061275883488f502f"": {""Model"": ""SeasonalNaive"", ""ModelParameters"": ""{\""method\"": \""lastvalue\"", \""lag_1\"": 24, \""lag_2\"": 168}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""SeasonalDifference\""}, \""transformation_params\"": {\""0\"": {\""lag_1\"": 12, \""method\"": \""Median\""}}}""}, ""91bb392160e78b8d0b539c52c99fd3f7"": {""Model"": ""UnivariateMotif"", ""ModelParameters"": ""{\""window\"": 14, \""point_method\"": \""median\"", \""distance_metric\"": \""minkowski\"", \""k\"": 5, \""max_windows\"": 10000}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""QuantileTransformer\"", \""1\"": \""SeasonalDifference\""}, \""transformation_params\"": {\""0\"": {\""output_distribution\"": \""normal\"", \""n_quantiles\"": 20}, \""1\"": {\""lag_1\"": 7, \""method\"": \""LastValue\""}}}""}}, ""model_weights"": {}, ""point_method"": ""mean""}",{},1
478b18bb54150fa061275883488f502f,SeasonalNaive,"{""method"": ""lastvalue"", ""lag_1"": 24, ""lag_2"": 168}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""SeasonalDifference""}, ""transformation_params"": {""0"": {""lag_1"": 12, ""method"": ""Median""}}}",0
24632f162fbd5799802a67b19616c396,Ensemble,"{""model_name"": ""BestN"", ""model_count"": 5, ""model_metric"": ""best_score_unique"", ""models"": {""f8628013aa1db35c5718b8c83863954f"": {""Model"": ""VAR"", ""ModelParameters"": ""{\""regression_type\"": null, \""maxlags\"": null, \""ic\"": \""fpe\""}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""StandardScaler\""}, \""transformation_params\"": {\""0\"": {}}}""}, ""478b18bb54150fa061275883488f502f"": {""Model"": ""SeasonalNaive"", ""ModelParameters"": ""{\""method\"": \""lastvalue\"", \""lag_1\"": 24, \""lag_2\"": 168}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""SeasonalDifference\""}, \""transformation_params\"": {\""0\"": {\""lag_1\"": 12, \""method\"": \""Median\""}}}""}, ""91bb392160e78b8d0b539c52c99fd3f7"": {""Model"": ""UnivariateMotif"", ""ModelParameters"": ""{\""window\"": 14, \""point_method\"": \""median\"", \""distance_metric\"": \""minkowski\"", \""k\"": 5, \""max_windows\"": 10000}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""QuantileTransformer\"", \""1\"": \""SeasonalDifference\""}, \""transformation_params\"": {\""0\"": {\""output_distribution\"": \""normal\"", \""n_quantiles\"": 20}, \""1\"": {\""lag_1\"": 7, \""method\"": \""LastValue\""}}}""}, ""02e90387637e93bf370bf39278624876"": {""Model"": ""MultivariateMotif"", ""ModelParameters"": ""{\""window\"": 10, \""point_method\"": \""median\"", \""distance_metric\"": \""mahalanobis\"", \""k\"": 10, \""max_windows\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""StandardScaler\"", \""1\"": \""Detrend\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {\""model\"": \""Linear\"", \""phi\"": 1, \""window\"": null}}}""}, ""0c42e552a3a28b52e43b44978aa6fa52"": {""Model"": ""MetricMotif"", ""ModelParameters"": ""{\""window\"": 10, \""point_method\"": \""median\"", \""distance_metric\"": \""mse\"", \""k\"": 5, \""comparison_transformation\"": {\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""EWMAFilter\""}, \""transformation_params\"": {\""0\"": {\""span\"": 12}}}, \""combination_transformation\"": {\""fillna\"": \""zero\"", \""transformations\"": {\""0\"": null}, \""transformation_params\"": {\""0\"": {}}}}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""StandardScaler\"", \""1\"": \""ScipyFilter\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {\""method\"": \""butter\"", \""method_args\"": {\""N\"": 3, \""btype\"": \""lowpass\"", \""analog\"": false, \""output\"": \""sos\"", \""Wn\"": 0.25}}}}""}}, ""point_method"": ""midhinge"", ""model_weights"": {}}",{},1
07c6da17e3eaae923ba3bbe2078792e2,Ensemble,"{""model_name"": ""BestN"", ""model_count"": 3, ""model_metric"": ""best_score"", ""models"": {""f8628013aa1db35c5718b8c83863954f"": {""Model"": ""VAR"", ""ModelParameters"": ""{\""regression_type\"": null, \""maxlags\"": null, \""ic\"": \""fpe\""}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""StandardScaler\""}, \""transformation_params\"": {\""0\"": {}}}""}, ""ff2cc3abb24d54d70d5baf7596d16148"": {""Model"": ""VAR"", ""ModelParameters"": ""{\""regression_type\"": null, \""maxlags\"": null, \""ic\"": \""aic\""}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""StandardScaler\""}, \""transformation_params\"": {\""0\"": {}}}""}, ""478b18bb54150fa061275883488f502f"": {""Model"": ""SeasonalNaive"", ""ModelParameters"": ""{\""method\"": \""lastvalue\"", \""lag_1\"": 24, \""lag_2\"": 168}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""SeasonalDifference\""}, \""transformation_params\"": {\""0\"": {\""lag_1\"": 12, \""method\"": \""Median\""}}}""}}, ""model_weights"": {}, ""point_method"": ""mean""}",{},1
ff2cc3abb24d54d70d5baf7596d16148,VAR,"{""regression_type"": null, ""maxlags"": null, ""ic"": ""aic""}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""StandardScaler""}, ""transformation_params"": {""0"": {}}}",0
f8628013aa1db35c5718b8c83863954f,VAR,"{""regression_type"": null, ""maxlags"": null, ""ic"": ""fpe""}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""StandardScaler""}, ""transformation_params"": {""0"": {}}}",0
4406dc002d51e949515c8b95afd439f8,VAR,"{""regression_type"": null, ""maxlags"": null, ""ic"": ""bic""}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""KalmanSmoothing""}, ""transformation_params"": {""0"": {""model_name"": ""ucm_deterministic_trend"", ""state_transition"": [[1, 1], [0, 1]], ""process_noise"": [[0.01, 0], [0, 0.01]], ""observation_model"": [[1, 0]], ""observation_noise"": 0.1, ""em_iter"": 10}}}",0
95f8beba3e51617ac3d07e4285e3470f,MultivariateMotif,"{""window"": 10, ""point_method"": ""median"", ""distance_metric"": ""minkowski"", ""k"": 10, ""max_windows"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0
8330c9fc295ba5c39f2232c566f4d5a3,MultivariateMotif,"{""window"": 10, ""point_method"": ""median"", ""distance_metric"": ""mahalanobis"", ""k"": 10, ""max_windows"": 10000}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""SinTrend"", ""1"": ""AlignLastValue""}, ""transformation_params"": {""0"": {}, ""1"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 0.2, ""first_value_only"": false}}}",0
